----------------------------- MORE -----------------------------

| Naziv : More 392 | P = 535 | S = 268 | MSV = 2 | kTezine = 572437 |
| Naziv : More 24 | P = 486 | S = 20 | MSV = 1 | kTezine = -506.858 |
| Naziv : More 135 | P = 325 | S = 120 | MSV = 1 | kTezine = -515.244 |
| Naziv : More 668 | P = 535 | S = 54 | MSV = 1 | kTezine = -595.062 |
| Naziv : More 329 | P = 87 | S = 17 | MSV = 3 | kTezine = -630.75 |
| Naziv : More 128 | P = 428 | S = 144 | MSV = 1 | kTezine = -645.014 |
| Naziv : More 502 | P = 510 | S = 128 | MSV = 1 | kTezine = -680.89 |
| Naziv : More 563 | P = 547 | S = 108 | MSV = 1 | kTezine = -681.569 |
| Naziv : More 261 | P = 578 | S = 91 | MSV = 1 | kTezine = -686.004 |
| Naziv : More 98 | P = 770 | S = 40 | MSV = 1 | kTezine = -812.192 |
| Naziv : More 10 | P = 625 | S = 176 | MSV = 1 | kTezine = -869.989 |
| Naziv : More 42 | P = 634 | S = 225 | MSV = 1 | kTezine = -982.778 |
| Naziv : More 71 | P = 325 | S = 3 | MSV = 3 | kTezine = -1002.77 |
| Naziv : More 184 | P = 713 | S = 208 | MSV = 1 | kTezine = -1006.67 |
| Naziv : More 440 | P = 966 | S = 54 | MSV = 1 | kTezine = -1023.2 |
| Naziv : More 404 | P = 970 | S = 64 | MSV = 1 | kTezine = -1038.52 |
| Naziv : More 741 | P = 929 | S = 101 | MSV = 1 | kTezine = -1042.32 |
| Naziv : More 484 | P = 457 | S = 40 | MSV = 2 | kTezine = -1107.95 |
| Naziv : More 630 | P = 604 | S = 290 | MSV = 1 | kTezine = -1161.83 |
| Naziv : More 582 | P = 457 | S = 55 | MSV = 2 | kTezine = -1203.74 |
| Naziv : More 269 | P = 808 | S = 274 | MSV = 1 | kTezine = -1222.59 |
| Naziv : More 460 | P = 914 | S = 255 | MSV = 1 | kTezine = -1267.67 |
| Naziv : More 67 | P = 984 | S = 231 | MSV = 1 | kTezine = -1285.86 |
| Naziv : More 177 | P = 941 | S = 300 | MSV = 1 | kTezine = -1381.41 |
| Naziv : More 99 | P = 742 | S = 1 | MSV = 2 | kTezine = -1488.01 |
| Naziv : More 153 | P = 294 | S = 16 | MSV = 4 | kTezine = -1503.23 |
| Naziv : More 717 | P = 327 | S = 42 | MSV = 3 | kTezine = -1595.96 |
| Naziv : More 556 | P = 976 | S = 383 | MSV = 1 | kTezine = -1606.37 |
| Naziv : More 35 | P = 852 | S = 29 | MSV = 2 | kTezine = -1828.47 |
| Naziv : More 165 | P = 855 | S = 477 | MSV = 1 | kTezine = -1933.93 |
| Naziv : More 496 | P = 336 | S = 110 | MSV = 2 | kTezine = -1946.48 |
| Naziv : More 233 | P = 247 | S = 12 | MSV = 6 | kTezine = -2091.74 |
| Naziv : More 176 | P = 521 | S = 2 | MSV = 4 | kTezine = -2116.5 |
| Naziv : More 396 | P = 849 | S = 511 | MSV = 1 | kTezine = -2132.55 |
| Naziv : More 136 | P = 517 | S = 4 | MSV = 4 | kTezine = -2134.04 |
| Naziv : More 505 | P = 430 | S = 133 | MSV = 2 | kTezine = -2254.88 |
| Naziv : More 727 | P = 138 | S = 130 | MSV = 1 | kTezine = -2380.5 |
| Naziv : More 356 | P = 933 | S = 106 | MSV = 2 | kTezine = -2414.67 |
| Naziv : More 152 | P = 852 | S = 141 | MSV = 2 | kTezine = -2547.03 |
| Naziv : More 548 | P = 859 | S = 143 | MSV = 2 | kTezine = -2575.5 |
| Naziv : More 93 | P = 613 | S = 476 | MSV = 1 | kTezine = -2742.84 |
| Naziv : More 468 | P = 225 | S = 11 | MSV = 8 | kTezine = -2956.2 |
| Naziv : More 595 | P = 290 | S = 1 | MSV = 10 | kTezine = -3003.57 |
| Naziv : More 442 | P = 977 | S = 660 | MSV = 1 | kTezine = -3011.13 |
| Naziv : More 265 | P = 429 | S = 369 | MSV = 1 | kTezine = -3067.35 |
| Naziv : More 275 | P = 555 | S = 39 | MSV = 4 | kTezine = -3087.97 |
| Naziv : More 19 | P = 966 | S = 196 | MSV = 2 | kTezine = -3251.41 |
| Naziv : More 157 | P = 763 | S = 32 | MSV = 4 | kTezine = -3667.21 |
| Naziv : More 600 | P = 981 | S = 71 | MSV = 3 | kTezine = -3759.22 |
| Naziv : More 665 | P = 890 | S = 24 | MSV = 4 | kTezine = -3990.43 |
| Naziv : More 253 | P = 763 | S = 46 | MSV = 4 | kTezine = -4021.89 |
| Naziv : More 126 | P = 440 | S = 31 | MSV = 6 | kTezine = -4573.23 |
| Naziv : More 500 | P = 817 | S = 140 | MSV = 3 | kTezine = -5044 |
| Naziv : More 686 | P = 995 | S = 808 | MSV = 1 | kTezine = -5294.25 |
| Naziv : More 426 | P = 861 | S = 81 | MSV = 4 | kTezine = -5521.94 |
| Naziv : More 489 | P = 438 | S = 17 | MSV = 9 | kTezine = -6058.23 |
| Naziv : More 623 | P = 404 | S = 10 | MSV = 11 | kTezine = -6106.72 |
| Naziv : More 586 | P = 797 | S = 98 | MSV = 4 | kTezine = -6273.67 |
| Naziv : More 243 | P = 758 | S = 668 | MSV = 1 | kTezine = -6384.04 |
| Naziv : More 597 | P = 931 | S = 176 | MSV = 3 | kTezine = -6452.31 |
| Naziv : More 543 | P = 934 | S = 58 | MSV = 5 | kTezine = -6772.95 |
| Naziv : More 651 | P = 706 | S = 280 | MSV = 2 | kTezine = -6827.89 |
| Naziv : More 397 | P = 905 | S = 116 | MSV = 4 | kTezine = -7428.8 |
| Naziv : More 541 | P = 918 | S = 807 | MSV = 1 | kTezine = -7592.11 |
| Naziv : More 437 | P = 832 | S = 326 | MSV = 2 | kTezine = -7691.38 |
| Naziv : More 354 | P = 689 | S = 633 | MSV = 1 | kTezine = -8477.16 |
| Naziv : More 388 | P = 544 | S = 238 | MSV = 2 | kTezine = -8704 |
| Naziv : More 438 | P = 797 | S = 61 | MSV = 6 | kTezine = -8842.82 |
| Naziv : More 309 | P = 850 | S = 90 | MSV = 5 | kTezine = -9031.25 |
| Naziv : More 610 | P = 705 | S = 180 | MSV = 3 | kTezine = -9036.82 |
| Naziv : More 371 | P = 696 | S = 122 | MSV = 4 | kTezine = -9315.69 |
| Naziv : More 655 | P = 585 | S = 37 | MSV = 8 | kTezine = -9473.36 |
| Naziv : More 288 | P = 877 | S = 10 | MSV = 10 | kTezine = -9898.7 |
| Naziv : More 317 | P = 973 | S = 148 | MSV = 4 | kTezine = -9939.41 |
| Naziv : More 391 | P = 810 | S = 16 | MSV = 10 | kTezine = -10093.8 |
| Naziv : More 688 | P = 759 | S = 325 | MSV = 2 | kTezine = -10570.3 |
| Naziv : More 191 | P = 751 | S = 74 | MSV = 6 | kTezine = -11022.8 |
| Naziv : More 514 | P = 674 | S = 94 | MSV = 5 | kTezine = -11134.2 |
| Naziv : More 566 | P = 189 | S = 60 | MSV = 3 | kTezine = -11907 |
| Naziv : More 672 | P = 830 | S = 22 | MSV = 11 | kTezine = -12887.6 |
| Naziv : More 675 | P = 552 | S = 56 | MSV = 7 | kTezine = -13330.8 |
| Naziv : More 657 | P = 832 | S = 227 | MSV = 3 | kTezine = -13752.8 |
| Naziv : More 201 | P = 863 | S = 162 | MSV = 4 | kTezine = -13856.2 |
| Naziv : More 583 | P = 817 | S = 770 | MSV = 1 | kTezine = -14201.9 |
| Naziv : More 23 | P = 663 | S = 192 | MSV = 3 | kTezine = -15157.6 |
| Naziv : More 30 | P = 935 | S = 48 | MSV = 9 | kTezine = -15642.2 |
| Naziv : More 102 | P = 959 | S = 66 | MSV = 8 | kTezine = -17070.6 |
| Naziv : More 149 | P = 391 | S = 122 | MSV = 3 | kTezine = -18345.7 |
| Naziv : More 522 | P = 825 | S = 377 | MSV = 2 | kTezine = -19172.5 |
| Naziv : More 531 | P = 539 | S = 524 | MSV = 1 | kTezine = -19368.1 |
| Naziv : More 347 | P = 846 | S = 41 | MSV = 11 | kTezine = -19931.3 |
| Naziv : More 74 | P = 733 | S = 55 | MSV = 9 | kTezine = -20317.7 |
| Naziv : More 412 | P = 890 | S = 110 | MSV = 6 | kTezine = -20663.5 |
| Naziv : More 293 | P = 571 | S = 49 | MSV = 9 | kTezine = -22572.1 |
| Naziv : More 22 | P = 974 | S = 57 | MSV = 10 | kTezine = -23482.1 |
| Naziv : More 457 | P = 819 | S = 63 | MSV = 9 | kTezine = -23955.8 |
| Naziv : More 308 | P = 971 | S = 50 | MSV = 11 | kTezine = -24634.8 |
| Naziv : More 422 | P = 820 | S = 55 | MSV = 10 | kTezine = -24903.7 |
| Naziv : More 257 | P = 552 | S = 67 | MSV = 7 | kTezine = -25697.9 |
| Naziv : More 172 | P = 849 | S = 80 | MSV = 8 | kTezine = -27590.5 |
| Naziv : More 558 | P = 735 | S = 165 | MSV = 4 | kTezine = -28812 |
| Naziv : More 78 | P = 741 | S = 50 | MSV = 11 | kTezine = -31622.5 |
| Naziv : More 704 | P = 730 | S = 168 | MSV = 4 | kTezine = -36751.7 |
| Naziv : More 654 | P = 558 | S = 179 | MSV = 3 | kTezine = -44480.5 |
| Naziv : More 637 | P = 688 | S = 221 | MSV = 3 | kTezine = -56801.3 |
| Naziv : More 380 | P = 986 | S = 476 | MSV = 2 | kTezine = -57188 |
| Naziv : More 477 | P = 515 | S = 512 | MSV = 1 | kTezine = -88408.7 |
| Naziv : More 368 | P = 836 | S = 71 | MSV = 11 | kTezine = -139779 |

----------------------------------------------------------------

----------------------------- GORA -----------------------------

| Naziv : Gora 405 | P = 122 | D = 677 | V = 1 | B = 0.99 | kTezine = 0.832016 |
| Naziv : Gora 3 | P = 162 | D = 869 | V = 1 | B = 0.97 | kTezine = 0.812569 |
| Naziv : Gora 360 | P = 29 | D = 781 | V = 1 | B = 0.86 | kTezine = 0.80157 |
| Naziv : Gora 143 | P = 8 | D = 540 | V = 1 | B = 0.89 | kTezine = 0.779562 |
| Naziv : Gora 251 | P = 119 | D = 446 | V = 1 | B = 0.99 | kTezine = 0.774974 |
| Naziv : Gora 472 | P = 110 | D = 571 | V = 1 | B = 0.93 | kTezine = 0.772755 |
| Naziv : Gora 394 | P = 12 | D = 190 | V = 1 | B = 0.88 | kTezine = 0.764052 |
| Naziv : Gora 446 | P = 102 | D = 343 | V = 1 | B = 0.99 | kTezine = 0.75567 |
| Naziv : Gora 19 | P = 311 | D = 987 | V = 1 | B = 0.98 | kTezine = 0.742804 |
| Naziv : Gora 650 | P = 9 | D = 459 | V = 1 | B = 0.84 | kTezine = 0.741462 |
| Naziv : Gora 583 | P = 151 | D = 886 | V = 1 | B = 0.87 | kTezine = 0.738427 |
| Naziv : Gora 96 | P = 88 | D = 564 | V = 1 | B = 0.86 | kTezine = 0.735568 |
| Naziv : Gora 324 | P = 60 | D = 979 | V = 1 | B = 0.79 | kTezine = 0.732176 |
| Naziv : Gora 144 | P = 34 | D = 617 | V = 1 | B = 0.79 | kTezine = 0.727348 |
| Naziv : Gora 253 | P = 166 | D = 755 | V = 1 | B = 0.89 | kTezine = 0.725219 |
| Naziv : Gora 34 | P = 113 | D = 771 | V = 1 | B = 0.83 | kTezine = 0.717553 |
| Naziv : Gora 458 | P = 398 | D = 994 | V = 1 | B = 1 | kTezine = 0.712291 |
| Naziv : Gora 294 | P = 140 | D = 365 | V = 1 | B = 0.97 | kTezine = 0.696117 |
| Naziv : Gora 118 | P = 350 | D = 931 | V = 1 | B = 0.96 | kTezine = 0.695717 |
| Naziv : Gora 130 | P = 164 | D = 1000 | V = 1 | B = 0.81 | kTezine = 0.691659 |
| Naziv : Gora 401 | P = 170 | D = 944 | V = 1 | B = 0.82 | kTezine = 0.690802 |
| Naziv : Gora 568 | P = 68 | D = 334 | V = 1 | B = 0.83 | kTezine = 0.679608 |
| Naziv : Gora 509 | P = 102 | D = 324 | V = 1 | B = 0.9 | kTezine = 0.677861 |
| Naziv : Gora 225 | P = 12 | D = 492 | V = 1 | B = 0.75 | kTezine = 0.675824 |
| Naziv : Gora 498 | P = 76 | D = 566 | V = 1 | B = 0.77 | kTezine = 0.670031 |
| Naziv : Gora 139 | P = 224 | D = 455 | V = 1 | B = 1 | kTezine = 0.667125 |
| Naziv : Gora 680 | P = 48 | D = 377 | V = 1 | B = 0.75 | kTezine = 0.651717 |
| Naziv : Gora 212 | P = 111 | D = 974 | V = 1 | B = 0.73 | kTezine = 0.649467 |
| Naziv : Gora 249 | P = 21 | D = 561 | V = 1 | B = 0.7 | kTezine = 0.644072 |
| Naziv : Gora 602 | P = 168 | D = 989 | V = 1 | B = 0.75 | kTezine = 0.637304 |
| Naziv : Gora 21 | P = 38 | D = 510 | V = 1 | B = 0.7 | kTezine = 0.634756 |
| Naziv : Gora 303 | P = 180 | D = 568 | V = 1 | B = 0.84 | kTezine = 0.634337 |
| Naziv : Gora 448 | P = 360 | D = 817 | V = 1 | B = 0.91 | kTezine = 0.629916 |
| Naziv : Gora 437 | P = 101 | D = 479 | V = 1 | B = 0.77 | kTezine = 0.629679 |
| Naziv : Gora 559 | P = 114 | D = 359 | V = 1 | B = 0.83 | kTezine = 0.62448 |
| Naziv : Gora 328 | P = 343 | D = 757 | V = 1 | B = 0.9 | kTezine = 0.617563 |
| Naziv : Gora 35 | P = 390 | D = 668 | V = 1 | B = 0.98 | kTezine = 0.61717 |
| Naziv : Gora 588 | P = 37 | D = 230 | V = 1 | B = 0.73 | kTezine = 0.612291 |
| Naziv : Gora 197 | P = 255 | D = 497 | V = 1 | B = 0.93 | kTezine = 0.61224 |
| Naziv : Gora 23 | P = 218 | D = 330 | V = 1 | B = 1.01 | kTezine = 0.605434 |
| Naziv : Gora 476 | P = 48 | D = 172 | V = 1 | B = 0.79 | kTezine = 0.605032 |
| Naziv : Gora 651 | P = 552 | D = 860 | V = 1 | B = 0.99 | kTezine = 0.601884 |
| Naziv : Gora 397 | P = 515 | D = 743 | V = 1 | B = 1 | kTezine = 0.589475 |
| Naziv : Gora 697 | P = 214 | D = 903 | V = 1 | B = 0.73 | kTezine = 0.587398 |
| Naziv : Gora 606 | P = 478 | D = 665 | V = 1 | B = 1.01 | kTezine = 0.586393 |
| Naziv : Gora 152 | P = 275 | D = 666 | V = 1 | B = 0.83 | kTezine = 0.58531 |
| Naziv : Gora 127 | P = 41 | D = 785 | V = 1 | B = 0.63 | kTezine = 0.584473 |
| Naziv : Gora 336 | P = 346 | D = 665 | V = 1 | B = 0.89 | kTezine = 0.583723 |
| Naziv : Gora 505 | P = 596 | D = 856 | V = 1 | B = 0.99 | kTezine = 0.582659 |
| Naziv : Gora 245 | P = 357 | D = 638 | V = 1 | B = 0.91 | kTezine = 0.581868 |
| Naziv : Gora 508 | P = 176 | D = 651 | V = 1 | B = 0.74 | kTezine = 0.579224 |
| Naziv : Gora 474 | P = 219 | D = 851 | V = 1 | B = 0.73 | kTezine = 0.57795 |
| Naziv : Gora 216 | P = 261 | D = 657 | V = 1 | B = 0.81 | kTezine = 0.577493 |
| Naziv : Gora 521 | P = 214 | D = 709 | V = 1 | B = 0.75 | kTezine = 0.573431 |
| Naziv : Gora 566 | P = 100 | D = 569 | V = 1 | B = 0.68 | kTezine = 0.572629 |
| Naziv : Gora 41 | P = 578 | D = 983 | V = 1 | B = 0.91 | kTezine = 0.57206 |
| Naziv : Gora 195 | P = 207 | D = 415 | V = 1 | B = 0.86 | kTezine = 0.571036 |
| Naziv : Gora 453 | P = 41 | D = 145 | V = 1 | B = 0.75 | kTezine = 0.570756 |
| Naziv : Gora 577 | P = 137 | D = 192 | V = 1 | B = 0.98 | kTezine = 0.567771 |
| Naziv : Gora 211 | P = 212 | D = 615 | V = 1 | B = 0.76 | kTezine = 0.562522 |
| Naziv : Gora 406 | P = 179 | D = 882 | V = 1 | B = 0.68 | kTezine = 0.562138 |
| Naziv : Gora 687 | P = 68 | D = 620 | V = 1 | B = 0.63 | kTezine = 0.559505 |
| Naziv : Gora 722 | P = 343 | D = 684 | V = 1 | B = 0.84 | kTezine = 0.557828 |
| Naziv : Gora 658 | P = 342 | D = 543 | V = 1 | B = 0.91 | kTezine = 0.556711 |
| Naziv : Gora 499 | P = 469 | D = 992 | V = 1 | B = 0.82 | kTezine = 0.555585 |
| Naziv : Gora 462 | P = 276 | D = 625 | V = 1 | B = 0.8 | kTezine = 0.552936 |
| Naziv : Gora 427 | P = 223 | D = 662 | V = 1 | B = 0.74 | kTezine = 0.551066 |
| Naziv : Gora 765 | P = 18 | D = 368 | V = 1 | B = 0.61 | kTezine = 0.550946 |
| Naziv : Gora 145 | P = 112 | D = 474 | V = 1 | B = 0.68 | kTezine = 0.545167 |
| Naziv : Gora 656 | P = 99 | D = 167 | V = 1 | B = 0.87 | kTezine = 0.540741 |
| Naziv : Gora 575 | P = 806 | D = 971 | V = 1 | B = 0.99 | kTezine = 0.540292 |
| Naziv : Gora 487 | P = 161 | D = 674 | V = 1 | B = 0.67 | kTezine = 0.537476 |
| Naziv : Gora 549 | P = 150 | D = 587 | V = 1 | B = 0.67 | kTezine = 0.530102 |
| Naziv : Gora 748 | P = 34 | D = 680 | V = 1 | B = 0.57 | kTezine = 0.527347 |
| Naziv : Gora 617 | P = 519 | D = 627 | V = 1 | B = 0.96 | kTezine = 0.524225 |
| Naziv : Gora 10 | P = 214 | D = 970 | V = 1 | B = 0.64 | kTezine = 0.521886 |
| Naziv : Gora 563 | P = 465 | D = 965 | V = 1 | B = 0.77 | kTezine = 0.5185 |
| Naziv : Gora 312 | P = 406 | D = 508 | V = 1 | B = 0.93 | kTezine = 0.515623 |
| Naziv : Gora 517 | P = 321 | D = 453 | V = 1 | B = 0.88 | kTezine = 0.513439 |
| Naziv : Gora 346 | P = 76 | D = 863 | V = 1 | B = 0.56 | kTezine = 0.507991 |
| Naziv : Gora 199 | P = 821 | D = 941 | V = 1 | B = 0.95 | kTezine = 0.506732 |
| Naziv : Gora 343 | P = 723 | D = 782 | V = 1 | B = 0.97 | kTezine = 0.503317 |
| Naziv : Gora 573 | P = 132 | D = 327 | V = 1 | B = 0.71 | kTezine = 0.502014 |
| Naziv : Gora 506 | P = 299 | D = 445 | V = 1 | B = 0.84 | kTezine = 0.500745 |
| Naziv : Gora 255 | P = 384 | D = 565 | V = 1 | B = 0.84 | kTezine = 0.498806 |
| Naziv : Gora 219 | P = 786 | D = 963 | V = 1 | B = 0.9 | kTezine = 0.494911 |
| Naziv : Gora 640 | P = 415 | D = 591 | V = 1 | B = 0.84 | kTezine = 0.492293 |
| Naziv : Gora 482 | P = 473 | D = 499 | V = 1 | B = 0.96 | kTezine = 0.4918 |
| Naziv : Gora 331 | P = 689 | D = 995 | V = 1 | B = 0.83 | kTezine = 0.489699 |
| Naziv : Gora 188 | P = 643 | D = 717 | V = 1 | B = 0.93 | kTezine = 0.48954 |
| Naziv : Gora 410 | P = 162 | D = 364 | V = 1 | B = 0.71 | kTezine = 0.488317 |
| Naziv : Gora 547 | P = 337 | D = 858 | V = 1 | B = 0.68 | kTezine = 0.48679 |
| Naziv : Gora 489 | P = 19 | D = 251 | V = 1 | B = 0.55 | kTezine = 0.485731 |
| Naziv : Gora 716 | P = 874 | D = 948 | V = 1 | B = 0.93 | kTezine = 0.483333 |
| Naziv : Gora 727 | P = 23 | D = 84 | V = 1 | B = 0.64 | kTezine = 0.481495 |
| Naziv : Gora 464 | P = 419 | D = 697 | V = 1 | B = 0.77 | kTezine = 0.47976 |
| Naziv : Gora 6 | P = 762 | D = 867 | V = 1 | B = 0.9 | kTezine = 0.478378 |
| Naziv : Gora 70 | P = 767 | D = 956 | V = 1 | B = 0.86 | kTezine = 0.476546 |
| Naziv : Gora 138 | P = 681 | D = 799 | V = 1 | B = 0.88 | kTezine = 0.474384 |
| Naziv : Gora 322 | P = 530 | D = 915 | V = 1 | B = 0.75 | kTezine = 0.474019 |
| Naziv : Gora 582 | P = 628 | D = 738 | V = 1 | B = 0.87 | kTezine = 0.469282 |
| Naziv : Gora 142 | P = 552 | D = 704 | V = 1 | B = 0.83 | kTezine = 0.464382 |
| Naziv : Gora 101 | P = 184 | D = 241 | V = 1 | B = 0.82 | kTezine = 0.462475 |
| Naziv : Gora 520 | P = 515 | D = 922 | V = 1 | B = 0.72 | kTezine = 0.461067 |
| Naziv : Gora 478 | P = 368 | D = 841 | V = 1 | B = 0.66 | kTezine = 0.457863 |
| Naziv : Gora 4 | P = 447 | D = 417 | V = 1 | B = 0.95 | kTezine = 0.457484 |
| Naziv : Gora 156 | P = 170 | D = 244 | V = 1 | B = 0.78 | kTezine = 0.457022 |
| Naziv : Gora 39 | P = 524 | D = 983 | V = 1 | B = 0.7 | kTezine = 0.455733 |
| Naziv : Gora 40 | P = 100 | D = 511 | V = 1 | B = 0.55 | kTezine = 0.455429 |
| Naziv : Gora 186 | P = 942 | D = 986 | V = 1 | B = 0.89 | kTezine = 0.454673 |
| Naziv : Gora 201 | P = 412 | D = 731 | V = 1 | B = 0.71 | kTezine = 0.452978 |
| Naziv : Gora 721 | P = 579 | D = 857 | V = 1 | B = 0.76 | kTezine = 0.452783 |
| Naziv : Gora 31 | P = 508 | D = 551 | V = 1 | B = 0.87 | kTezine = 0.451774 |
| Naziv : Gora 605 | P = 642 | D = 593 | V = 1 | B = 0.94 | kTezine = 0.45065 |
| Naziv : Gora 117 | P = 260 | D = 340 | V = 1 | B = 0.79 | kTezine = 0.445951 |
| Naziv : Gora 29 | P = 592 | D = 900 | V = 1 | B = 0.74 | kTezine = 0.445628 |
| Naziv : Gora 379 | P = 45 | D = 661 | V = 1 | B = 0.48 | kTezine = 0.439635 |
| Naziv : Gora 202 | P = 409 | D = 992 | V = 1 | B = 0.62 | kTezine = 0.43793 |
| Naziv : Gora 538 | P = 667 | D = 660 | V = 1 | B = 0.88 | kTezine = 0.437024 |
| Naziv : Gora 348 | P = 258 | D = 402 | V = 1 | B = 0.72 | kTezine = 0.436852 |
| Naziv : Gora 196 | P = 638 | D = 789 | V = 1 | B = 0.79 | kTezine = 0.436114 |
| Naziv : Gora 398 | P = 777 | D = 687 | V = 1 | B = 0.93 | kTezine = 0.435853 |
| Naziv : Gora 204 | P = 282 | D = 675 | V = 1 | B = 0.62 | kTezine = 0.435759 |
| Naziv : Gora 669 | P = 478 | D = 852 | V = 1 | B = 0.68 | kTezine = 0.4347 |
| Naziv : Gora 696 | P = 851 | D = 703 | V = 1 | B = 0.96 | kTezine = 0.433776 |
| Naziv : Gora 378 | P = 166 | D = 627 | V = 1 | B = 0.55 | kTezine = 0.432264 |
| Naziv : Gora 686 | P = 66 | D = 406 | V = 1 | B = 0.51 | kTezine = 0.432139 |
| Naziv : Gora 402 | P = 122 | D = 799 | V = 1 | B = 0.5 | kTezine = 0.430241 |
| Naziv : Gora 454 | P = 266 | D = 348 | V = 1 | B = 0.76 | kTezine = 0.429136 |
| Naziv : Gora 535 | P = 40 | D = 219 | V = 1 | B = 0.52 | kTezine = 0.428967 |
| Naziv : Gora 368 | P = 685 | D = 912 | V = 1 | B = 0.75 | kTezine = 0.427679 |
| Naziv : Gora 746 | P = 378 | D = 730 | V = 1 | B = 0.65 | kTezine = 0.427119 |
| Naziv : Gora 60 | P = 693 | D = 543 | V = 1 | B = 0.97 | kTezine = 0.425527 |
| Naziv : Gora 149 | P = 322 | D = 377 | V = 1 | B = 0.79 | kTezine = 0.424761 |
| Naziv : Gora 326 | P = 517 | D = 657 | V = 1 | B = 0.76 | kTezine = 0.424494 |
| Naziv : Gora 367 | P = 744 | D = 679 | V = 1 | B = 0.89 | kTezine = 0.424103 |
| Naziv : Gora 177 | P = 869 | D = 698 | V = 1 | B = 0.95 | kTezine = 0.422679 |
| Naziv : Gora 477 | P = 643 | D = 737 | V = 1 | B = 0.79 | kTezine = 0.421251 |
| Naziv : Gora 229 | P = 700 | D = 848 | V = 1 | B = 0.77 | kTezine = 0.421207 |
| Naziv : Gora 754 | P = 437 | D = 377 | V = 1 | B = 0.91 | kTezine = 0.4205 |
| Naziv : Gora 2 | P = 242 | D = 332 | V = 1 | B = 0.73 | kTezine = 0.420492 |
| Naziv : Gora 695 | P = 612 | D = 601 | V = 1 | B = 0.85 | kTezine = 0.420459 |
| Naziv : Gora 649 | P = 102 | D = 76 | V = 1 | B = 0.99 | kTezine = 0.418593 |
| Naziv : Gora 193 | P = 52 | D = 404 | V = 1 | B = 0.48 | kTezine = 0.417239 |
| Naziv : Gora 161 | P = 437 | D = 754 | V = 1 | B = 0.66 | kTezine = 0.41688 |
| Naziv : Gora 469 | P = 227 | D = 553 | V = 1 | B = 0.59 | kTezine = 0.41646 |
| Naziv : Gora 756 | P = 844 | D = 968 | V = 1 | B = 0.78 | kTezine = 0.416196 |
| Naziv : Gora 48 | P = 940 | D = 786 | V = 1 | B = 0.91 | kTezine = 0.413963 |
| Naziv : Gora 466 | P = 954 | D = 972 | V = 1 | B = 0.82 | kTezine = 0.413398 |
| Naziv : Gora 15 | P = 17 | D = 536 | V = 1 | B = 0.45 | kTezine = 0.411935 |
| Naziv : Gora 576 | P = 780 | D = 554 | V = 1 | B = 0.99 | kTezine = 0.410613 |
| Naziv : Gora 66 | P = 325 | D = 606 | V = 1 | B = 0.63 | kTezine = 0.408817 |
| Naziv : Gora 463 | P = 220 | D = 451 | V = 1 | B = 0.61 | kTezine = 0.408145 |
| Naziv : Gora 734 | P = 674 | D = 718 | V = 1 | B = 0.79 | kTezine = 0.406882 |
| Naziv : Gora 421 | P = 149 | D = 404 | V = 1 | B = 0.56 | kTezine = 0.406386 |
| Naziv : Gora 235 | P = 546 | D = 543 | V = 1 | B = 0.81 | kTezine = 0.403146 |
| Naziv : Gora 736 | P = 519 | D = 467 | V = 1 | B = 0.85 | kTezine = 0.401812 |
| Naziv : Gora 422 | P = 757 | D = 762 | V = 1 | B = 0.8 | kTezine = 0.400787 |
| Naziv : Gora 228 | P = 803 | D = 631 | V = 1 | B = 0.91 | kTezine = 0.399927 |
| Naziv : Gora 18 | P = 226 | D = 284 | V = 1 | B = 0.72 | kTezine = 0.399175 |
| Naziv : Gora 310 | P = 506 | D = 381 | V = 1 | B = 0.93 | kTezine = 0.398682 |
| Naziv : Gora 349 | P = 680 | D = 840 | V = 1 | B = 0.72 | kTezine = 0.39731 |
| Naziv : Gora 163 | P = 566 | D = 963 | V = 1 | B = 0.63 | kTezine = 0.396089 |
| Naziv : Gora 17 | P = 776 | D = 588 | V = 1 | B = 0.92 | kTezine = 0.396088 |
| Naziv : Gora 444 | P = 984 | D = 959 | V = 1 | B = 0.8 | kTezine = 0.394452 |
| Naziv : Gora 480 | P = 150 | D = 325 | V = 1 | B = 0.58 | kTezine = 0.394214 |
| Naziv : Gora 619 | P = 706 | D = 807 | V = 1 | B = 0.74 | kTezine = 0.394141 |
| Naziv : Gora 416 | P = 652 | D = 480 | V = 1 | B = 0.92 | kTezine = 0.389509 |
| Naziv : Gora 74 | P = 939 | D = 851 | V = 1 | B = 0.82 | kTezine = 0.389429 |
| Naziv : Gora 192 | P = 616 | D = 747 | V = 1 | B = 0.71 | kTezine = 0.388489 |
| Naziv : Gora 597 | P = 739 | D = 651 | V = 1 | B = 0.83 | kTezine = 0.388201 |
| Naziv : Gora 465 | P = 440 | D = 308 | V = 1 | B = 0.94 | kTezine = 0.386181 |
| Naziv : Gora 725 | P = 378 | D = 336 | V = 1 | B = 0.82 | kTezine = 0.384864 |
| Naziv : Gora 337 | P = 577 | D = 578 | V = 1 | B = 0.77 | kTezine = 0.384667 |
| Naziv : Gora 629 | P = 233 | D = 939 | V = 1 | B = 0.48 | kTezine = 0.38293 |
| Naziv : Gora 247 | P = 29 | D = 480 | V = 1 | B = 0.42 | kTezine = 0.382868 |
| Naziv : Gora 457 | P = 983 | D = 641 | V = 1 | B = 0.97 | kTezine = 0.382474 |
